temperature,ang_rate_x,ang_rate_y,ang_rate_z,temperature_1,ang_rate_x_1,ang_rate_y_1,ang_rate_z_1
5184, 7531, 1119, 141, 4928, -1455, 7298, 80
5184, 7189, 800, 271, 4928, -1113, 6912, 173
5184, 6292, -162, 209, 4928, -487, 6086, 163
5104, 6091, -188, 246, 4880, -143, 5858, 137
5184, 5967, -407, 205, 4992, 49, 5788, 92
5184, 5959, -486, 143, 4832, 102, 5789, 79
5104, 6007, -492, 91, 5008, 99, 5846, -5
5136, 6078, -441, 32, 5008, 87, 5928, -37
5136, 6228, -274, -33, 4880, -141, 6074, -142
5168, 6423, 8, -110, 4896, -431, 6254, -218
5168, 6416, 173, -89, 5008, -582, 6228, -203
5184, 6272, 136, -164, 5056, -547, 6054, -222
5232, 6098, 127, -162, 4896, -482, 5862, -221
5136, 5769, 120, -44, 5024, -523, 5542, -129
5168, 5383, 139, -37, 4992, -463, 5127, -122
5168, 4907, 51, -6, 5008, -410, 4683, -93
5120, 4563, -40, 13, 4928, -322, 4334, -115
5120, 4315, -24, -17, 4928, -390, 4084, -118
5184, 3960, -145, -67, 4944, -238, 3795, -162
5168, 4053, -276, -208, 4944, -101, 3820, -298
5136, 4314, -261, -323, 4944, -75, 4119, -455
5184, 4664, -291, -463, 5008, -50, 4598, -546
5168, 5133, -317, -534, 4960, -8, 5012, -630
5072, 5466, -452, -616, 4960, 67, 5347, -698
5200, 5750, -376, -602, 4928, 17, 5540, -674
5168, 5839, -360, -565, 4896, 2, 5715, -670
5104, 5916, -380, -614, 4960, -11, 5750, -687
5104, 5997, -405, -621, 5056, 31, 5813, -742
5136, 5955, -481, -658, 4944, 100, 5797, -760
5136, 6070, -456, -737, 4928, 117, 5815, -818
5184, 6068, -378, -741, 4960, -2, 5922, -812
5184, 6122, -386, -728, 4992, -6, 5937, -826
5184, 6069, -471, -791, 5008, 109, 5931, -870
5184, 5907, -595, -839, 5008, 188, 5666, -935
5232, 5628, -580, -843, 4928, 242, 5365, -908
5136, 5269, -523, -769, 4928, 223, 5072, -866
5200, 4922, -474, -687, 4992, 100, 4730, -762
5232, 4703, -373, -614, 4880, 64, 4545, -695
5232, 4745, -401, -487, 4896, 23, 4539, -570
5200, 5046, -301, -393, 4944, -57, 4866, -480
5200, 5397, -351, -305, 4928, -65, 5402, -406
5136, 5874, -246, -322, 4928, -52, 5696, -415
5200, 6136, -171, -263, 4928, -190, 5907, -325
5232, 6162, -217, -197, 4960, -172, 6025, -252
5168, 6063, -252, -215, 5008, -123, 5851, -320
5120, 5821, -391, -214, 4896, 112, 5550, -296
5184, 5503, -889, -233, 4928, 569, 5277, -335
